,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,성별,출생년도,혼인상테,종교,월급,직종,지역,나이,연령별,연령대
14755,14755,14755,14755,14755,남성,1952.0,1.0,1.0,,,4.0,70.0,노년,70대
14756,14756,14756,14756,14756,여성,1952.0,1.0,1.0,,,4.0,70.0,노년,70대
14757,14757,14757,14757,14757,남성,1945.0,1.0,1.0,,,4.0,77.0,노년,70대
14758,14758,14758,14758,14758,여성,1943.0,1.0,1.0,,,4.0,79.0,노년,70대
14759,14759,14759,14759,14759,여성,1954.0,4.0,1.0,,,4.0,68.0,노년,60대
14760,14760,14760,14760,14760,남성,1944.0,1.0,1.0,,,4.0,78.0,노년,70대
14761,14761,14761,14761,14761,여성,1951.0,1.0,1.0,,,4.0,71.0,노년,70대
14762,14762,14762,14762,14762,여성,1950.0,2.0,1.0,,,4.0,72.0,노년,70대
14763,14763,14763,14763,14763,남성,1972.0,5.0,2.0,132.0,873.0,4.0,50.0,중년,50대
14764,14764,14764,14764,14764,여성,1970.0,2.0,2.0,,930.0,4.0,52.0,중년,50대
14765,14765,14765,14765,14765,여성,1997.0,5.0,2.0,272.0,253.0,4.0,25.0,청년,20대
14766,14766,14766,14766,14766,여성,1998.0,5.0,2.0,,,4.0,24.0,청년,20대
14767,14767,14767,14767,14767,남성,1959.0,1.0,2.0,,611.0,4.0,63.0,노년,60대
14768,14768,14768,14768,14768,남성,1983.0,5.0,2.0,,,4.0,39.0,중년,30대
14769,14769,14769,14769,14769,여성,1963.0,1.0,2.0,145.0,421.0,4.0,59.0,중년,50대
14770,14770,14770,14770,14770,여성,1936.0,2.0,2.0,,,4.0,86.0,노년,80대
14771,14771,14771,14771,14771,남성,1963.0,1.0,1.0,250.0,510.0,4.0,59.0,중년,50대
14772,14772,14772,14772,14772,여성,1965.0,1.0,1.0,,,4.0,57.0,중년,50대
14773,14773,14773,14773,14773,여성,1935.0,2.0,1.0,,,4.0,87.0,노년,80대
14774,14774,14774,14774,14774,남성,1976.0,1.0,1.0,508.0,252.0,4.0,46.0,중년,40대
14775,14775,14775,14775,14775,여성,1976.0,1.0,1.0,,,4.0,46.0,중년,40대
14776,14776,14776,14776,14776,남성,2012.0,0.0,1.0,,,4.0,10.0,청년,NaN
14777,14777,14777,14777,14777,여성,2018.0,0.0,1.0,,,4.0,4.0,청년,NaN
14778,14778,14778,14778,14778,남성,1945.0,1.0,1.0,,,4.0,77.0,노년,70대
14779,14779,14779,14779,14779,여성,1950.0,1.0,1.0,,,4.0,72.0,노년,70대
14780,14780,14780,14780,14780,여성,1938.0,2.0,1.0,,,5.0,84.0,노년,80대
14781,14781,14781,14781,14781,남성,1971.0,1.0,2.0,,783.0,5.0,51.0,중년,50대
14782,14782,14782,14782,14782,여성,1972.0,1.0,2.0,72.0,421.0,5.0,50.0,중년,50대
14783,14783,14783,14783,14783,남성,2002.0,5.0,2.0,,,5.0,20.0,청년,20대
14784,14784,14784,14784,14784,남성,2005.0,0.0,2.0,,,5.0,17.0,청년,NaN
14785,14785,14785,14785,14785,남성,1986.0,5.0,2.0,233.0,312.0,5.0,36.0,중년,30대
14786,14786,14786,14786,14786,여성,1963.0,2.0,2.0,,,5.0,59.0,중년,50대
14787,14787,14787,14787,14787,남성,1947.0,1.0,2.0,,,5.0,75.0,노년,70대
14788,14788,14788,14788,14788,여성,1947.0,1.0,2.0,,,5.0,75.0,노년,70대
14789,14789,14789,14789,14789,여성,1946.0,3.0,2.0,27.0,941.0,5.0,76.0,노년,70대
14790,14790,14790,14790,14790,남성,1932.0,1.0,1.0,,,7.0,90.0,노년,NaN
14791,14791,14791,14791,14791,여성,1937.0,1.0,1.0,,,7.0,85.0,노년,80대
14792,14792,14792,14792,14792,남성,1938.0,1.0,1.0,,873.0,5.0,84.0,노년,80대
14793,14793,14793,14793,14793,남성,1941.0,1.0,1.0,,,5.0,81.0,노년,80대
14794,14794,14794,14794,14794,여성,1943.0,1.0,1.0,,,5.0,79.0,노년,70대
14795,14795,14795,14795,14795,남성,1955.0,1.0,1.0,,783.0,5.0,67.0,노년,60대
14796,14796,14796,14796,14796,여성,1960.0,1.0,1.0,100.0,421.0,5.0,62.0,노년,60대
14797,14797,14797,14797,14797,남성,1954.0,1.0,1.0,,875.0,5.0,68.0,노년,60대
14798,14798,14798,14798,14798,여성,1960.0,1.0,1.0,70.0,951.0,5.0,62.0,노년,60대
14799,14799,14799,14799,14799,남성,1944.0,1.0,1.0,27.0,999.0,5.0,78.0,노년,70대
14800,14800,14800,14800,14800,여성,1948.0,1.0,1.0,100.0,941.0,5.0,74.0,노년,70대
14801,14801,14801,14801,14801,남성,1978.0,5.0,1.0,417.0,510.0,5.0,44.0,중년,40대
14802,14802,14802,14802,14802,남성,1959.0,1.0,1.0,,,5.0,63.0,노년,60대
14803,14803,14803,14803,14803,여성,1962.0,1.0,1.0,400.0,259.0,5.0,60.0,노년,60대
14804,14804,14804,14804,14804,남성,1957.0,1.0,1.0,,611.0,5.0,65.0,노년,60대
14805,14805,14805,14805,14805,여성,1957.0,1.0,1.0,,611.0,5.0,65.0,노년,60대
14806,14806,14806,14806,14806,여성,1966.0,2.0,1.0,85.0,421.0,5.0,56.0,중년,50대
14807,14807,14807,14807,14807,남성,1948.0,1.0,1.0,,,5.0,74.0,노년,70대
14808,14808,14808,14808,14808,여성,1953.0,1.0,1.0,,,5.0,69.0,노년,60대
14809,14809,14809,14809,14809,남성,1968.0,1.0,2.0,,873.0,5.0,54.0,중년,50대
14810,14810,14810,14810,14810,여성,1961.0,1.0,2.0,,,5.0,61.0,노년,60대
14811,14811,14811,14811,14811,남성,1949.0,1.0,1.0,,,5.0,73.0,노년,70대
14812,14812,14812,14812,14812,여성,1951.0,1.0,1.0,,,5.0,71.0,노년,70대
14813,14813,14813,14813,14813,여성,1943.0,2.0,1.0,,,5.0,79.0,노년,70대
14814,14814,14814,14814,14814,여성,1964.0,3.0,2.0,45.0,421.0,5.0,58.0,중년,50대
14815,14815,14815,14815,14815,남성,1993.0,5.0,2.0,,999.0,5.0,29.0,청년,20대
14816,14816,14816,14816,14816,남성,1964.0,1.0,1.0,234.0,783.0,5.0,58.0,중년,50대
14817,14817,14817,14817,14817,여성,1956.0,1.0,1.0,180.0,421.0,5.0,66.0,노년,60대
14818,14818,14818,14818,14818,남성,1964.0,1.0,1.0,,,5.0,58.0,중년,50대
14819,14819,14819,14819,14819,여성,1967.0,1.0,1.0,,,5.0,55.0,중년,50대
14820,14820,14820,14820,14820,남성,1997.0,5.0,1.0,,,5.0,25.0,청년,20대
14821,14821,14821,14821,14821,남성,1982.0,1.0,2.0,428.0,510.0,5.0,40.0,중년,40대
14822,14822,14822,14822,14822,여성,1981.0,1.0,2.0,,,5.0,41.0,중년,40대
